id,buyerName,lenderName,address,city,saleDate,saleValue,loanAmount
1760,GELT VENTURES LLC,HOMEBRIDGE FIN'L SVC INC,1919 RAMSAY ST,BALTIMORE,2025-03-13,175000,131250
1761,GELT VENTURES LLC,HOMEBRIDGE FIN'L SVC INC,1915 CHRISTIAN ST,BALTIMORE,2025-03-13,195000,156000
1762,SHELBY COMPANY LLC,BOHICA VENTURES LLC,3310 MCELDERRY ST,BALTIMORE,2025-03-13,99000,126000
1763,PIKESVILLE ONE LLC,PROSPERITY HOME MORTGAGE LLC,8159 TOMPKINS ST,DERWOOD,2025-03-13,602500,331375
1764,429 MARLYN LLC,WOODLYN ADVISORY ASSOCIATES IN,5317 4TH ST,BROOKLYN,2025-03-13,102500,145000
1765,THU LLC,OWENS MARK,28 ALLEGHENY AVE APT 2502,TOWSON,2025-03-13,105000,225000
1766,NCA LLC,OWENS MARK,438 STEMMERS RUN RD,ESSEX,2025-03-13,141000,175000
1767,PRIME PROPERTY VENTURES LLC,EQUITY LENDING LLC,2088 SIXES RD,PRINCE FREDERICK,2025-03-13,350000,320000
1768,COZY CRIBZ PROPERTIES LLC,KIAVI FUNDING INC,1670 MOHEGAN DR UNIT E,HAVRE DE GRACE,2025-03-13,254000,177800
1769,DKY HOMES LLC,BRRRR FUNDER LLC,47 RANDOLPH AVE,HAGERSTOWN,2025-03-13,120000,139500
1770,MICHAEL ANGELO HOMES LLC,TRUSTED LENDING GROUP LLC,413 N MILTON AVE,BALTIMORE,2025-03-13,65000,160000
1771,CZ PROPERTIES LLC,BELTWAY ASSETS LLC,502 N MONTFORD AVE,BALTIMORE,2025-03-13,109900,147500
1772,PYRMID PROPERTIES LLC,INSULA CAPITAL GROUP LLC,2 N MILTON AVE,BALTIMORE,2025-03-13,180000,237425
1773,SHELBY COMPANY LLC,BOHICA VENTURES LLC,2039 E 31ST ST,BALTIMORE,2025-03-13,135000,170000
1774,GALAXY HOME IMPROVEMENTS LLC,BELL LAP PROPERTIES LLC,741 N MILTON AVE,BALTIMORE,2025-03-13,75000,70000
1775,GELT VENTURES LLC,HOMEBRIDGE FIN'L SVC INC,2011 RAMSAY ST,BALTIMORE,2025-03-13,200000,150000
1776,KSKGROUPHOLDINGS LLC,NOVA FINANCIAL & INV CORP,2211 W BALTIMORE ST,BALTIMORE,2025-03-13,65000,82500
1777,ART OF LIVING & DESIGN LLC,KIAVI FUNDING INC,3734 ELLERSLIE AVE,BALTIMORE,2025-03-13,135000,193700
1778,SHELBY COMPANY LLC,BOHICA VENTURES LLC,1702 E 29TH ST,BALTIMORE,2025-03-13,115000,148000
1779,790 LINNARD LLC,SOCHACZEWSKI MORRIS,790 LINNARD ST,BALTIMORE,2025-03-13,124000,130000
1780,GREEN ACQUISITIONS LLC,MWC CF SPV LLC,4103 RIDGEWOOD AVE,BALTIMORE,2025-03-13,185000,229500
1781,GUTU PROPERTIES LLC,PIMLICO GROUP LLC,33 N MORLEY ST,BALTIMORE,2025-03-13,44000,130000
1782,GELT VENTURES LLC,HOMEBRIDGE FIN'L SVC INC,2020 N PAYSON ST,BALTIMORE,2025-03-13,190000,152000
1783,GELT VENTURES LLC,HOMEBRIDGE FIN'L SVC INC,701 APPLETON ST,BALTIMORE,2025-03-13,205000,153750
1784,HONSEN DEVELOPMENT LLC,CHESAPEAKE DEVELOPMENT LLC,3717 W FRANKLIN ST,BALTIMORE,2025-03-12,120000,120000
1785,JOHNSON RESIDENTIAL GROUP LLC,COMMERCIAL LENDER LLC,823 E COLD SPRING LN,BALTIMORE,2025-03-12,85000,111500
1786,FULLCO 3 LLC,BAY PRIVATE CAPITAL LLC,1628 PLUM ST,CURTIS BAY,2025-03-12,132500,136475
1787,RANDALLSTOWN HOLDINGS LLC,RFLF 4 LLC,1636 INGRAM RD,BALTIMORE,2025-03-12,157500,176750
1788,MD HOMES 1 LLC,SOCHACZEWSKI MORRIS,3026 OAKFORD AVE,BALTIMORE,2025-03-12,100000,130000
1789,BENZ 26 LLC,TRUSTED LENDING GROUP LLC,906 SILVER MAPLE CT,GLEN BURNIE,2025-03-12,280000,312000
1790,FEATURE PROPERTIES LLC,DJ REAL ESTATE LLC,912 GENINE DR,GLEN BURNIE,2025-03-12,347000,350000
1791,4501 RITCHIE HWY LLC,RFLF 7 LLC,4501 RITCHIE HWY,BROOKLYN,2025-03-12,188750,246375
1792,DO YOU WANNA BUILD A SNOWMAN LLC,RCN CAPITAL LLC,935 VICTORY AVE,BROOKLYN,2025-03-12,127500,167938
1793,DO YOU WANNA BUILD A SNOWMAN LLC,RCN CAPITAL LLC,913 VICTORY AVE,BROOKLYN,2025-03-12,127500,164938
1794,KODA PROPERTIES LLC,UNITED EQUITY NETWORK LLC,8400 GREENS LN,WINDSOR MILL,2025-03-12,254200,315000
1795,VIP HOME BUYING LLC,AZ PRIVATE MORTGAGE LLC,923 FAIRMOUNT AVE,TOWSON,2025-03-12,170000,260000
1796,NEW CAPITAL INVESTMENT LLC,HARRIPARSHAD ANOOPWATTIE,9664 GWYNNDALE DR,CLINTON,2025-03-12,260000,280000
1797,RESIDENTIAL VALUE LLC,CAPITAL BANK NA,12 NOTLEY RD,FORT WASHINGTON,2025-03-12,350000,750000
1798,DOCENA DE REP MD LLC,ERVIN ERMA,5718 BLACK HAWK DR,OXON HILL,2025-03-12,299000,200000
1799,ISAIAHS HOME RENOVATIONS LLC,WCP FUND I LLC,510 MILLWOOF DR,CAPITOL HEIGHTS,2025-03-12,322500,318500
1800,LEGACY RENTALS INVESTMENT GROUP LLC,BPL MORTGAGE LLC,3421 RAVENWOOD AVE,BALTIMORE,2025-03-12,160000,120000
1801,937 MONTPELIER LLC,WARD MARC,805 MONTPELIER ST,BALTIMORE,2025-03-12,102500,120000
1802,USR & SONS LLC,COMMERCIAL LOAN FUNDING LLC,1003 MYRTLE AVE,BALTIMORE,2025-03-12,206000,164800
1803,2853 W COLD SPRING LLC,PIMLICO GROUP LLC,2853 W COLD SPRING LN,BALTIMORE,2025-03-12,54000,110000
1804,R E I EQUITIES LLC,450 EAST MAIN LLC,3902 CLIFTON AVE,BALTIMORE,2025-03-12,125000,150000
1805,REDEEMED HOMES LLC,CANAAN CAPITAL GROUP LLC,2816 WINCHESTER ST,BALTIMORE,2025-03-12,94000,100000
1806,FRONTLINE INVESTMENT PROPERTIES LLC,WARD MARC,1510 MCHENRY ST,BALTIMORE,2025-03-12,110000,135000
1807,MCCABE LLC,CTRL P INC,802 MCCABE AVE,BALTIMORE,2025-03-11,125000,175000
1808,GRACEFUL EMPOWER LLC,KIAVI FUNDING INC,910 REVERDY RD,BALTIMORE,2025-03-11,240000,191968
1809,RE I EQUITIES LLC,HARIRI DAVID,2318 CLOVILLE AVE,BALTIMORE,2025-03-11,163000,200000
1810,HOUSE BUYERS OF AMERICA INC,COMMERCIAL LENDING LLC,200 ERIN WAY APT 103,REISTERSTOWN,2025-03-11,87500,113000
1811,RUFE ENTERPRISES INC,TRUSTED LENDING GROUP LLC,209 COLGATE AVE,DUNDALK,2025-03-11,135000,160000
